Date time, Open, High, Low, Close, MA9, MA26, MA52, MA104, RSI
2021.03.11 00:00:00,1.39331000,1.39954000,1.39187000,1.39891000,1.39084889,1.39046538,1.37705212,1.35046212,59.18721725
2021.03.12 00:00:00,1.39879000,1.40050000,1.38632000,1.39190000,1.39078556,1.39141731,1.37785731,1.35143952,52.85462789
2021.03.15 00:00:00,1.39166000,1.39500000,1.38534000,1.39001000,1.39021222,1.39204731,1.37838885,1.35239413,51.44185452
2021.03.16 00:00:00,1.38996000,1.39060000,1.38092000,1.38919000,1.38958222,1.39263962,1.37883731,1.35330740,50.86068590
2021.03.17 00:00:00,1.38928000,1.39707000,1.38509000,1.39593000,1.39031222,1.39319308,1.37958981,1.35428087,56.08628914
2021.03.18 00:00:00,1.39592000,1.40013000,1.38973000,1.39276000,1.39140667,1.39356308,1.38017096,1.35503298,53.19524568
2021.03.19 00:00:00,1.39277000,1.39592000,1.38308000,1.38632000,1.39188889,1.39375115,1.38066212,1.35578596,45.80845946
2021.03.22 00:00:00,1.38381000,1.38767000,1.38175000,1.38587000,1.39157889,1.39377192,1.38123173,1.35656962,47.40412035
2021.03.23 00:00:00,1.38587000,1.38644000,1.37405000,1.37494000,1.38953667,1.39319385,1.38159481,1.35727471,39.57471144
2021.03.24 00:00:00,1.37498000,1.37572000,1.36740000,1.36870000,1.38618000,1.39236654,1.38193212,1.35789490,35.87393875
2021.03.25 00:00:00,1.36870000,1.37452000,1.36702000,1.37380000,1.38416889,1.39189885,1.38207712,1.35862135,40.68106190
2021.03.26 00:00:00,1.37376000,1.38123000,1.37328000,1.37917000,1.38296444,1.39120346,1.38238077,1.35945413,45.36812999
2021.03.29 00:00:00,1.37916000,1.38468000,1.37552000,1.37598000,1.38149667,1.39026308,1.38252231,1.36023260,43.22697521
2021.03.30 00:00:00,1.37601000,1.37836000,1.37061000,1.37390000,1.37904889,1.38902538,1.38282423,1.36102452,41.75694397
2021.03.31 00:00:00,1.37385000,1.38119000,1.37160000,1.37797000,1.37740556,1.38774500,1.38319827,1.36171885,45.70649520
2021.04.01 00:00:00,1.37816000,1.38364000,1.37462000,1.38316000,1.37705444,1.38656308,1.38358096,1.36253212,49.98017668
2021.04.02 00:00:00,1.38320000,1.38518000,1.38096000,1.38312000,1.37674889,1.38588692,1.38392865,1.36319173,48.99934166
2021.04.05 00:00:00,1.38209000,1.39134000,1.38128000,1.38986000,1.37840667,1.38577769,1.38425212,1.36391337,55.35944120
2021.04.06 00:00:00,1.38986000,1.39186000,1.38020000,1.38221000,1.37990778,1.38538308,1.38452115,1.36454740,48.83228588
2021.04.07 00:00:00,1.38217000,1.38397000,1.37242000,1.37371000,1.37989778,1.38455769,1.38464192,1.36499731,42.84246109
2021.04.08 00:00:00,1.37370000,1.37826000,1.37188000,1.37325000,1.37924000,1.38372654,1.38463538,1.36548962,42.50138229
2021.04.09 00:00:00,1.37319000,1.37508000,1.36700000,1.37024000,1.37860222,1.38299115,1.38466846,1.36605500,41.07469827
2021.04.12 00:00:00,1.37080000,1.37764000,1.36688000,1.37387000,1.37859889,1.38264346,1.38470808,1.36657548,44.12317054
